,Pre Context,Post Context,Current Utterance,No,csi_annotations_final
4725,"Rachel Green: You...are...not going to believe it! Joshua came into work today, and guess what happened?",Rachel Green: No. But I was showing him some cufflinks and I felt his pulse.,Monica Geller: He asked you out?!,455,"[('asked you out', 'S', '2', 'I')]"
4726,Monica Geller: He asked you out?!,Monica Geller: Saucy!,Rachel Green: No. But I was showing him some cufflinks and I felt his pulse.,455,"[('cufflinks', 'M', '2', 'T'), ('felt his pulse', 'G', '2', 'I')]"
4727,Rachel Green: No. But I was showing him some cufflinks and I felt his pulse.,Rachel Green: What are these?,Monica Geller: Saucy!,455,"[('Saucy', 'G', '2', 'I')]"
4728,Monica Geller: Saucy!,Monica Geller: Electrical plans for the building.,Rachel Green: What are these?,455,[]
4729,Rachel Green: What are these?,"Rachel Green: Okay, okay, okay should I be scared?",Monica Geller: Electrical plans for the building.,455,[]
4730,Monica Geller: Electrical plans for the building.,"Monica Geller: I know that switch does something, okay? So-so I went down to city hall and got these. All I had to do was pay $25 and wait in line for three hours.","Rachel Green: Okay, okay, okay should I be scared?",455,[]
4731,"Rachel Green: Okay, okay, okay should I be scared?",Rachel Green: Wow! If only more people knew.,"Monica Geller: I know that switch does something, okay? So-so I went down to city hall and got these. All I had to do was pay $25 and wait in line for three hours.",455,"[('city hall', 'M', '2', 'F'), ('$25', 'I', '3', 'T')]"
4732,"Monica Geller: I know that switch does something, okay? So-so I went down to city hall and got these. All I had to do was pay $25 and wait in line for three hours.",,Rachel Green: Wow! If only more people knew.,455,[]
4733,,"Chandler Bing: Y'know you, really didn't have to take me to the airport.","TRANSCRIPT_NOTE: [Scene: The airport, the Yemen Express counter, Chandler is still trying to get rid of Janice.]",456,"[('Yemen Express', 'I', '3', 'I')]"
4734,"TRANSCRIPT_NOTE: [Scene: The airport, the Yemen Express counter, Chandler is still trying to get rid of Janice.]","Janice Litman Goralnik: Oh please. Every moment is precious. Y'know? Besides, somebody had to ride in that other taxi with the rest of your luggage, and your friends don't really seem to care too much that you're leaving.","Chandler Bing: Y'know you, really didn't have to take me to the airport.",456,[]
4735,"Chandler Bing: Y'know you, really didn't have to take me to the airport.","Chandler Bing: Well, we're really not that close. Okay, so I guess this is uh, good-bye then.","Janice Litman Goralnik: Oh please. Every moment is precious. Y'know? Besides, somebody had to ride in that other taxi with the rest of your luggage, and your friends don't really seem to care too much that you're leaving.",456,[]
4736,"Janice Litman Goralnik: Oh please. Every moment is precious. Y'know? Besides, somebody had to ride in that other taxi with the rest of your luggage, and your friends don't really seem to care too much that you're leaving.","Janice Litman Goralnik: On no! No! It's not good-bye, I'm not leaving until you get on that plane.","Chandler Bing: Well, we're really not that close. Okay, so I guess this is uh, good-bye then.",456,[]
4737,"Chandler Bing: Well, we're really not that close. Okay, so I guess this is uh, good-bye then.","Chandler Bing: Okay. Then I guess it's just, wait here then. Hi. I need one fake ticket to Yemen.","Janice Litman Goralnik: On no! No! It's not good-bye, I'm not leaving until you get on that plane.",456,[]
4738,"Janice Litman Goralnik: On no! No! It's not good-bye, I'm not leaving until you get on that plane.",Ticket Counter Attendant: One ticket to Yemen?,"Chandler Bing: Okay. Then I guess it's just, wait here then. Hi. I need one fake ticket to Yemen.",456,"[('Yemen', 'I', '3', 'F')]"
4739,"Chandler Bing: Okay. Then I guess it's just, wait here then. Hi. I need one fake ticket to Yemen.","Chandler Bing: Oh no-no-no, no. No, no, no, I just, I just need a pretend ticket.",Ticket Counter Attendant: One ticket to Yemen?,456,"[('Yemen', 'I', '3', 'F')]"
4740,Ticket Counter Attendant: One ticket to Yemen?,"Ticket Counter Attendant: I'm sorry sir, I don't understand.","Chandler Bing: Oh no-no-no, no. No, no, no, I just, I just need a pretend ticket.",456,"[('pretend ticket', 'I', '2', 'I')]"
4741,"Chandler Bing: Oh no-no-no, no. No, no, no, I just, I just need a pretend ticket.",Chandler Bing: What would you give to a kid if he wanted a ticket to play with?,"Ticket Counter Attendant: I'm sorry sir, I don't understand.",456,[]
4742,"Ticket Counter Attendant: I'm sorry sir, I don't understand.",Ticket Counter Attendant: Are you travelling with a child?,Chandler Bing: What would you give to a kid if he wanted a ticket to play with?,456,[]
4743,Chandler Bing: What would you give to a kid if he wanted a ticket to play with?,"Chandler Bing: No. All right, y'know what, she's gonna think that I'm handing you a credit card, but what I'm really gonna do is hand you a library card.",Ticket Counter Attendant: Are you travelling with a child?,456,[]
4744,Ticket Counter Attendant: Are you travelling with a child?,"Ticket Counter Attendant: Ah, sir a ticket to Yemen is $2,100 and we don't take library cards.","Chandler Bing: No. All right, y'know what, she's gonna think that I'm handing you a credit card, but what I'm really gonna do is hand you a library card.",456,[]
4745,"Chandler Bing: No. All right, y'know what, she's gonna think that I'm handing you a credit card, but what I'm really gonna do is hand you a library card.",Janice Litman Goralnik: What's the matter? Is something wrong? Do you have to stay?,"Ticket Counter Attendant: Ah, sir a ticket to Yemen is $2,100 and we don't take library cards.",456,"[('Yemen', 'I', '2', 'F')]"
4746,"Ticket Counter Attendant: Ah, sir a ticket to Yemen is $2,100 and we don't take library cards.",Chandler Bing: American Express?,Janice Litman Goralnik: What's the matter? Is something wrong? Do you have to stay?,456,[]
4747,Janice Litman Goralnik: What's the matter? Is something wrong? Do you have to stay?,,Chandler Bing: American Express?,456,"[('American Express', 'M', '3', 'T'), ('American Express', 'I', '3', 'F')]"
4748,,Ticket Counter Attendant: This is the final boarding call for Flight 664 to Yemen.,"TRANSCRIPT_NOTE: [Scene: The airport, the flight to Yemen is being called.]",457,"[('Yemen', 'I', '3', 'I')]"
4749,"TRANSCRIPT_NOTE: [Scene: The airport, the flight to Yemen is being called.]","Chandler Bing: Well, I-I guess I gotta go.",Ticket Counter Attendant: This is the final boarding call for Flight 664 to Yemen.,457,"[('Yemen', 'I', '2', 'F')]"
4750,Ticket Counter Attendant: This is the final boarding call for Flight 664 to Yemen.,"Janice Litman Goralnik: Oh, my Bing-a-ling. I'll wait for you. Do you even know how long you're going to be gone?","Chandler Bing: Well, I-I guess I gotta go.",457,[]
4751,"Chandler Bing: Well, I-I guess I gotta go.","Chandler Bing: Well, just until we find an energy source to replace fuel.","Janice Litman Goralnik: Oh, my Bing-a-ling. I'll wait for you. Do you even know how long you're going to be gone?",457,"[('Bing-a-ling', 'I', '3', 'I')]"
4752,"Janice Litman Goralnik: Oh, my Bing-a-ling. I'll wait for you. Do you even know how long you're going to be gone?","Janice Litman Goralnik: Oh. Well, I'll right you everyday. 15 Yemen Road, Yemen.","Chandler Bing: Well, just until we find an energy source to replace fuel.",457,[]
4753,"Chandler Bing: Well, just until we find an energy source to replace fuel.","Chandler Bing: Okay, good-bye. Good-bye.","Janice Litman Goralnik: Oh. Well, I'll right you everyday. 15 Yemen Road, Yemen.",457,"[('Yemen', 'E', '3', 'I')]"
4754,"Janice Litman Goralnik: Oh. Well, I'll right you everyday. 15 Yemen Road, Yemen.","TRANSCRIPT_NOTE: (He gives the agent his ticket and walks onto the jetway. Janice walks over and looks out the window. Chandler walks back into the terminal and tries to walk right past Janice, but she sees him.)","Chandler Bing: Okay, good-bye. Good-bye.",457,[]
4755,"Chandler Bing: Okay, good-bye. Good-bye.",Janice Litman Goralnik: Chandler?,"TRANSCRIPT_NOTE: (He gives the agent his ticket and walks onto the jetway. Janice walks over and looks out the window. Chandler walks back into the terminal and tries to walk right past Janice, but she sees him.)",457,"[('jetway', 'M', '3', 'T')]"
4756,"TRANSCRIPT_NOTE: (He gives the agent his ticket and walks onto the jetway. Janice walks over and looks out the window. Chandler walks back into the terminal and tries to walk right past Janice, but she sees him.)",Chandler Bing: No!,Janice Litman Goralnik: Chandler?,457,[]
4757,Janice Litman Goralnik: Chandler?,Janice Litman Goralnik: Chandler!,Chandler Bing: No!,457,[]
4758,Chandler Bing: No!,"Chandler Bing: Janice! There you are! There you are! I had to have one last kiss, and also-also you said that you were going to leave right after I got on the plane!",Janice Litman Goralnik: Chandler!,457,[]
4759,Janice Litman Goralnik: Chandler!,Janice Litman Goralnik: No! No! I wanna see you take-off.,"Chandler Bing: Janice! There you are! There you are! I had to have one last kiss, and also-also you said that you were going to leave right after I got on the plane!",457,[]
4760,"Chandler Bing: Janice! There you are! There you are! I had to have one last kiss, and also-also you said that you were going to leave right after I got on the plane!","Chandler Bing: Well, I then guess I'm going to Yemen! I'm going to Yemen! When we get to Yemen, can I stay with you?",Janice Litman Goralnik: No! No! I wanna see you take-off.,457,[]
4761,Janice Litman Goralnik: No! No! I wanna see you take-off.,,"Chandler Bing: Well, I then guess I'm going to Yemen! I'm going to Yemen! When we get to Yemen, can I stay with you?",457,"[('Yemen', 'E', '3', 'T')]"
4762,,Monica Geller: All right. The super couldn't figure out what it did. A $200 an hour electrician couldn't figure out what it did. I've had seven pretty serious shocks. I officially give up.,"TRANSCRIPT_NOTE: [Scene: Chandler and Joey's erm, Monica and Rachel's, Monica has finally given up on her search to find what the light switch does and is now flicking it on and off aimlessly.]",458,[]
4763,"TRANSCRIPT_NOTE: [Scene: Chandler and Joey's erm, Monica and Rachel's, Monica has finally given up on her search to find what the light switch does and is now flicking it on and off aimlessly.]",Rachel Green: Thank God.,Monica Geller: All right. The super couldn't figure out what it did. A $200 an hour electrician couldn't figure out what it did. I've had seven pretty serious shocks. I officially give up.,458,[]
4764,Monica Geller: All right. The super couldn't figure out what it did. A $200 an hour electrician couldn't figure out what it did. I've had seven pretty serious shocks. I officially give up.,"Monica Geller: I guess Joey was right, it does nothing.",Rachel Green: Thank God.,458,[]
4765,Rachel Green: Thank God.,"TRANSCRIPT_NOTE: [Cut to Chandler and Joey's, Joey and Phoebe are watching TV. The TV is turning off and on, and each time Phoebe is blinking her eyes like the Genie did. The switch obviously controls the outlet which the TV is plugged into.]","Monica Geller: I guess Joey was right, it does nothing.",458,[]
4766,"Monica Geller: I guess Joey was right, it does nothing.",Phoebe Buffay: See? I'm doing it. I am totally doing it. I lost it.,"TRANSCRIPT_NOTE: [Cut to Chandler and Joey's, Joey and Phoebe are watching TV. The TV is turning off and on, and each time Phoebe is blinking her eyes like the Genie did. The switch obviously controls the outlet which the TV is plugged into.]",458,"[('blinking her eyes like the Genie did', 'G', '3', 'I')]"
4767,"TRANSCRIPT_NOTE: [Cut to Chandler and Joey's, Joey and Phoebe are watching TV. The TV is turning off and on, and each time Phoebe is blinking her eyes like the Genie did. The switch obviously controls the outlet which the TV is plugged into.]",,Phoebe Buffay: See? I'm doing it. I am totally doing it. I lost it.,458,[]
4768,,"Joey Tribbiani: Oooh, what you got there?","TRANSCRIPT_NOTE: [Scene: Monica and Rachel's erm, Chandler and Joey's, the next day. Phoebe is busy making a sandwich.]",459,[]
4769,"TRANSCRIPT_NOTE: [Scene: Monica and Rachel's erm, Chandler and Joey's, the next day. Phoebe is busy making a sandwich.]",Phoebe Buffay: Pastrami.,"Joey Tribbiani: Oooh, what you got there?",459,[]
4770,"Joey Tribbiani: Oooh, what you got there?","Joey Tribbiani: Oh-ho-ho, yeah! Hey! Y'know what goes good with that?",Phoebe Buffay: Pastrami.,459,"[('Pastrami', 'M', '3', 'T')]"
4771,Phoebe Buffay: Pastrami.,"Phoebe Buffay: Hm-mm, corn beef.","Joey Tribbiani: Oh-ho-ho, yeah! Hey! Y'know what goes good with that?",459,[]
4772,"Joey Tribbiani: Oh-ho-ho, yeah! Hey! Y'know what goes good with that?","Joey Tribbiani: Ooh, I was gonna say bologna, but that's much better. How about a little of that smoked turkey?","Phoebe Buffay: Hm-mm, corn beef.",459,"[('corn beef', 'M', '2', 'T')]"
4773,"Phoebe Buffay: Hm-mm, corn beef.",Phoebe Buffay: Okay.,"Joey Tribbiani: Ooh, I was gonna say bologna, but that's much better. How about a little of that smoked turkey?",459,"[('smoked turkey', 'M', '2', 'T')]"
4774,"Joey Tribbiani: Ooh, I was gonna say bologna, but that's much better. How about a little of that smoked turkey?",Joey Tribbiani: Oh mama! Uh when-when is the baby due?,Phoebe Buffay: Okay.,459,[]
4775,Phoebe Buffay: Okay.,Phoebe Buffay: Six months.,Joey Tribbiani: Oh mama! Uh when-when is the baby due?,459,[]
4776,Joey Tribbiani: Oh mama! Uh when-when is the baby due?,"Joey Tribbiani: Ugh. Now if a cow should die of natural causes, I can have one of those right?",Phoebe Buffay: Six months.,459,[]
4777,Phoebe Buffay: Six months.,Phoebe Buffay: Not if I get there first.,"Joey Tribbiani: Ugh. Now if a cow should die of natural causes, I can have one of those right?",459,"[('cow', 'O', '3', 'F')]"
4778,"Joey Tribbiani: Ugh. Now if a cow should die of natural causes, I can have one of those right?",,Phoebe Buffay: Not if I get there first.,459,[]
4779,,Ticket Agent: This is the boarding call for Flight 009.,"TRANSCRIPT_NOTE: [Scene: The airport, Emily is getting ready to board her flight to London.]",460,[]
4780,"TRANSCRIPT_NOTE: [Scene: The airport, Emily is getting ready to board her flight to London.]",Ross Geller: Emily!,Ticket Agent: This is the boarding call for Flight 009.,460,[]
4781,Ticket Agent: This is the boarding call for Flight 009.,Emily Waltham: Oh my God! What are you doing here?,Ross Geller: Emily!,460,[]
4782,Ross Geller: Emily!,"Ross Geller: I just, I had to see you one more time before you took-off.",Emily Waltham: Oh my God! What are you doing here?,460,[]
4783,Emily Waltham: Oh my God! What are you doing here?,Emily Waltham: You are so sweet.,"Ross Geller: I just, I had to see you one more time before you took-off.",460,[]
4784,"Ross Geller: I just, I had to see you one more time before you took-off.","Ross Geller: That's, that's, that's a big candy bar. I had the most amazing time with you.",Emily Waltham: You are so sweet.,460,[]
4785,Emily Waltham: You are so sweet.,Emily Waltham: Me too.,"Ross Geller: That's, that's, that's a big candy bar. I had the most amazing time with you.",460,"[('candy bar', 'M', '2', 'T')]"
4786,"Ross Geller: That's, that's, that's a big candy bar. I had the most amazing time with you.",Ticket Agent: This is the final boarding call for Flight 009.,Emily Waltham: Me too.,460,[]
4787,Emily Waltham: Me too.,"Emily Waltham: Well, that' me. Here, have this. I'm only allowed one piece of carryon anyway.",Ticket Agent: This is the final boarding call for Flight 009.,460,[]
4788,Ticket Agent: This is the final boarding call for Flight 009.,"Ross Geller: Wait uh, listen. I-I, I have to tell you something. Umm, I've been thinking, I'm just gonna come out and say it. Okay? I-I-I ah, I-I think I love you.","Emily Waltham: Well, that' me. Here, have this. I'm only allowed one piece of carryon anyway.",460,[]
4789,"Emily Waltham: Well, that' me. Here, have this. I'm only allowed one piece of carryon anyway.",Emily Waltham: Oh. Thank you.,"Ross Geller: Wait uh, listen. I-I, I have to tell you something. Umm, I've been thinking, I'm just gonna come out and say it. Okay? I-I-I ah, I-I think I love you.",460,[]
4790,"Ross Geller: Wait uh, listen. I-I, I have to tell you something. Umm, I've been thinking, I'm just gonna come out and say it. Okay? I-I-I ah, I-I think I love you.",Ross Geller: That's no problem.,Emily Waltham: Oh. Thank you.,460,[]
4791,Emily Waltham: Oh. Thank you.,,Ross Geller: That's no problem.,460,[]
4792,,Ross Geller: Hello?,"TRANSCRIPT_NOTE: [Scene: Ross's bedroom, he has fallen asleep waiting for Emily to call. He is awaken by the phone.]",461,[]
4793,"TRANSCRIPT_NOTE: [Scene: Ross's bedroom, he has fallen asleep waiting for Emily to call. He is awaken by the phone.]",Emily Waltham: Ross.,Ross Geller: Hello?,461,[]
4794,Ross Geller: Hello?,"Ross Geller: Emily, hi! Uh, how-how was you flight?",Emily Waltham: Ross.,461,[]
4795,Emily Waltham: Ross.,Emily Waltham: It was dreadful. I felt terrible about how I acted when you said those wonderful things.,"Ross Geller: Emily, hi! Uh, how-how was you flight?",461,[]
4796,"Ross Geller: Emily, hi! Uh, how-how was you flight?","Ross Geller: No, no, that-that, that's all right. Umm, I'm just glad you called.",Emily Waltham: It was dreadful. I felt terrible about how I acted when you said those wonderful things.,461,[]
4797,Emily Waltham: It was dreadful. I felt terrible about how I acted when you said those wonderful things.,"Emily Waltham: Ross umm, there's something that I've got to tell you, there's-there's someone else.","Ross Geller: No, no, that-that, that's all right. Umm, I'm just glad you called.",461,[]
4798,"Ross Geller: No, no, that-that, that's all right. Umm, I'm just glad you called.",Ross Geller: Does that mean the same thing in England as it does in America?,"Emily Waltham: Ross umm, there's something that I've got to tell you, there's-there's someone else.",461,[]
4799,"Emily Waltham: Ross umm, there's something that I've got to tell you, there's-there's someone else.",,Ross Geller: Does that mean the same thing in England as it does in America?,461,[]
4800,,Phoebe Buffay: Hi!,"TRANSCRIPT_NOTE: [Scene: Monica and Rachel's erm, Chandler and Joey's, Joey and Chandler are playing foosball as Phoebe enters.]",462,"[('foosball', 'M', '2', 'T')]"
4801,"TRANSCRIPT_NOTE: [Scene: Monica and Rachel's erm, Chandler and Joey's, Joey and Chandler are playing foosball as Phoebe enters.]",Joey Tribbiani: Hey!,Phoebe Buffay: Hi!,462,[]
4802,Phoebe Buffay: Hi!,Chandler Bing: Hey! Do we have a baby name yet?,Joey Tribbiani: Hey!,462,[]
4803,Joey Tribbiani: Hey!,"Phoebe Buffay: Ugh! No! This is so hard! I went through this whole book and found nothing! I want a name that's really like, y'know strong and confident, y'know? Like-like Exxon.",Chandler Bing: Hey! Do we have a baby name yet?,462,[]
4804,Chandler Bing: Hey! Do we have a baby name yet?,"Chandler Bing: Well, it certainly worked for that Valdez kid.","Phoebe Buffay: Ugh! No! This is so hard! I went through this whole book and found nothing! I want a name that's really like, y'know strong and confident, y'know? Like-like Exxon.",462,"[('Exxon', 'I', '3', 'I')]"
4805,"Phoebe Buffay: Ugh! No! This is so hard! I went through this whole book and found nothing! I want a name that's really like, y'know strong and confident, y'know? Like-like Exxon.","Joey Tribbiani: Ooh-ooh, Pheebs, you want a strong name? How about, The Hulk?","Chandler Bing: Well, it certainly worked for that Valdez kid.",462,"[('Valdez kid', 'I', '3', 'I')]"
4806,"Chandler Bing: Well, it certainly worked for that Valdez kid.","Phoebe Buffay: No, I'm-I'm not sure about Hulk, but I like the idea of a name starting with ""The.""","Joey Tribbiani: Ooh-ooh, Pheebs, you want a strong name? How about, The Hulk?",462,[]
4807,"Joey Tribbiani: Ooh-ooh, Pheebs, you want a strong name? How about, The Hulk?","Joey Tribbiani: Oh, want a good name, go with Joey. Joey's your pal. Joey's your buddy. ""Where is everybody?"" ""Well, they're hanging out with Joey.""","Phoebe Buffay: No, I'm-I'm not sure about Hulk, but I like the idea of a name starting with ""The.""",462,"[('Hulk', 'I', '2', 'I')]"
4808,"Phoebe Buffay: No, I'm-I'm not sure about Hulk, but I like the idea of a name starting with ""The.""","Chandler Bing: Hey, y'know what, if you're gonna do that, if you're gonna name him Joey, you should name him Chandler. Oh, come on! Chandler's funny, sophisticated, and he's very loveable, once you get to know him.","Joey Tribbiani: Oh, want a good name, go with Joey. Joey's your pal. Joey's your buddy. ""Where is everybody?"" ""Well, they're hanging out with Joey.""",462,[]
4809,"Joey Tribbiani: Oh, want a good name, go with Joey. Joey's your pal. Joey's your buddy. ""Where is everybody?"" ""Well, they're hanging out with Joey.""","Joey Tribbiani: Oh well, hey, Joey's loveable too! But the thing about Joey is, if you need him, he'll be there.","Chandler Bing: Hey, y'know what, if you're gonna do that, if you're gonna name him Joey, you should name him Chandler. Oh, come on! Chandler's funny, sophisticated, and he's very loveable, once you get to know him.",462,[]
4810,"Chandler Bing: Hey, y'know what, if you're gonna do that, if you're gonna name him Joey, you should name him Chandler. Oh, come on! Chandler's funny, sophisticated, and he's very loveable, once you get to know him.","Chandler Bing: Well, Chandler will be there for you too. I mean, well, he might be a little late, but-but, he'll be there. And he'll bring you some cold soda, if want you need him for is that you're really hot.","Joey Tribbiani: Oh well, hey, Joey's loveable too! But the thing about Joey is, if you need him, he'll be there.",462,[]
4811,"Joey Tribbiani: Oh well, hey, Joey's loveable too! But the thing about Joey is, if you need him, he'll be there.",Joey Tribbiani: What do ya say? What do ya say?,"Chandler Bing: Well, Chandler will be there for you too. I mean, well, he might be a little late, but-but, he'll be there. And he'll bring you some cold soda, if want you need him for is that you're really hot.",462,"[('cold soda', 'M', '2', 'T')]"
4812,"Chandler Bing: Well, Chandler will be there for you too. I mean, well, he might be a little late, but-but, he'll be there. And he'll bring you some cold soda, if want you need him for is that you're really hot.","Phoebe Buffay: Well, I, I like the idea of naming him after someone I love, and Joey and Chandler are great names. But, all right, I don't-maybe I'll just name him The Hulk.",Joey Tribbiani: What do ya say? What do ya say?,462,[]
4813,Joey Tribbiani: What do ya say? What do ya say?,Joey Tribbiani: I knew I shouldn't have mentioned it! That's what I wanted to name my kid!,"Phoebe Buffay: Well, I, I like the idea of naming him after someone I love, and Joey and Chandler are great names. But, all right, I don't-maybe I'll just name him The Hulk.",462,[]
4814,"Phoebe Buffay: Well, I, I like the idea of naming him after someone I love, and Joey and Chandler are great names. But, all right, I don't-maybe I'll just name him The Hulk.",,Joey Tribbiani: I knew I shouldn't have mentioned it! That's what I wanted to name my kid!,462,[]
4815,,"Rachel Green: Hey, Mon, if you were hoping to sleep with Joshua the first time tonight, which one of these would you want to be wearing.","TRANSCRIPT_NOTE: [Scene: Chandler and Joey's erm, Monica and Rachel's, Monica is cooking and Rachel is getting ready for a date with Joshua.]",463,[]
4816,"TRANSCRIPT_NOTE: [Scene: Chandler and Joey's erm, Monica and Rachel's, Monica is cooking and Rachel is getting ready for a date with Joshua.]",Monica Geller: Y'know what? It really creeps me out choosing other people's sex clothes.,"Rachel Green: Hey, Mon, if you were hoping to sleep with Joshua the first time tonight, which one of these would you want to be wearing.",463,"[('sleep with', 'M', '2', 'I'), ('sleep with', 'T', '2', 'I')]"
4817,"Rachel Green: Hey, Mon, if you were hoping to sleep with Joshua the first time tonight, which one of these would you want to be wearing.",Rachel Green: Sorry. I'm so exited! I've been waiting for this for months! I got my hair coloured! I got new sheets! I'm making him a very fancy meal.,Monica Geller: Y'know what? It really creeps me out choosing other people's sex clothes.,463,"[('sex clothes', 'M', '3', 'I'), ('sex clothes', 'T', '3', 'I')]"
4818,Monica Geller: Y'know what? It really creeps me out choosing other people's sex clothes.,Monica Geller: Um-hmm.,Rachel Green: Sorry. I'm so exited! I've been waiting for this for months! I got my hair coloured! I got new sheets! I'm making him a very fancy meal.,463,[]
4819,Rachel Green: Sorry. I'm so exited! I've been waiting for this for months! I got my hair coloured! I got new sheets! I'm making him a very fancy meal.,Rachel Green: What am I making him by the way?,Monica Geller: Um-hmm.,463,[]
4820,Monica Geller: Um-hmm.,"Monica Geller: Well, you're making him a frieze salad with goat cheese and pine nuts, wild nuts, wild rice, roast asparagus, and salmon au croup.",Rachel Green: What am I making him by the way?,463,[]
4821,Rachel Green: What am I making him by the way?,Rachel Green: I thought I was making him filet mignon?,"Monica Geller: Well, you're making him a frieze salad with goat cheese and pine nuts, wild nuts, wild rice, roast asparagus, and salmon au croup.",463,"[('goat cheese', 'E', '2', 'T'), ('pine nuts', 'E', '2', 'T'), ('wild rice', 'E', '2', 'T'), ('roast asparagus', 'E', '2', 'T'), ('salmon au croup', 'E', '3', 'T'), ('frieze salad', 'M', '3', 'T')]"
4822,"Monica Geller: Well, you're making him a frieze salad with goat cheese and pine nuts, wild nuts, wild rice, roast asparagus, and salmon au croup.","Monica Geller: Yeah, you were, but you decided to make salmon because you had some left over at the restaurant. And then you realised if you bitched about it, then you would stop cooking, and you would have to make your famous baked potato and Diet Coke.",Rachel Green: I thought I was making him filet mignon?,463,"[('filet mignon', 'M', '3', 'T')]"
4823,Rachel Green: I thought I was making him filet mignon?,"Rachel Green: Wow, I really get crabby when I cook.","Monica Geller: Yeah, you were, but you decided to make salmon because you had some left over at the restaurant. And then you realised if you bitched about it, then you would stop cooking, and you would have to make your famous baked potato and Diet Coke.",463,"[('salmon', 'M', '2', 'T'), ('Diet Coke', 'M', '2', 'T')]"
4824,"Monica Geller: Yeah, you were, but you decided to make salmon because you had some left over at the restaurant. And then you realised if you bitched about it, then you would stop cooking, and you would have to make your famous baked potato and Diet Coke.",,"Rachel Green: Wow, I really get crabby when I cook.",463,"[('crabby', 'F', '2', 'I')]"
4825,,Ross Geller: Nice luggage.,"TRANSCRIPT_NOTE: [Scene: The Airport, Carol and Ross are waiting for Emily and Susan to deplane. A gorgeous woman walks by and they both turn to watch her go.]",464,[]
4826,"TRANSCRIPT_NOTE: [Scene: The Airport, Carol and Ross are waiting for Emily and Susan to deplane. A gorgeous woman walks by and they both turn to watch her go.]",Carol Willick: I was gonna say...,Ross Geller: Nice luggage.,464,[]
4827,Ross Geller: Nice luggage.,TRANSCRIPT_NOTE: (Susan and Emily get off.),Carol Willick: I was gonna say...,464,[]
4828,Carol Willick: I was gonna say...,Susan Bunch: Hey!,TRANSCRIPT_NOTE: (Susan and Emily get off.),464,[]
4829,TRANSCRIPT_NOTE: (Susan and Emily get off.),TRANSCRIPT_NOTE: (They both run and hug they're respective partners.),Susan Bunch: Hey!,464,[]
4830,Susan Bunch: Hey!,Ross Geller: Hi!,TRANSCRIPT_NOTE: (They both run and hug they're respective partners.),464,[]
4831,TRANSCRIPT_NOTE: (They both run and hug they're respective partners.),Emily Waltham: Hey! I missed you.,Ross Geller: Hi!,464,[]
4832,Ross Geller: Hi!,"Ross Geller: Oh, I missed you too.",Emily Waltham: Hey! I missed you.,464,[]
4833,Emily Waltham: Hey! I missed you.,"Susan Bunch: Thanks for everything, I had such a great time.","Ross Geller: Oh, I missed you too.",464,[]
4834,"Ross Geller: Oh, I missed you too.","Emily Waltham: Oh, so did I.","Susan Bunch: Thanks for everything, I had such a great time.",464,[]
4835,"Susan Bunch: Thanks for everything, I had such a great time.",TRANSCRIPT_NOTE: (They hug and give each other a little peck on the cheek.),"Emily Waltham: Oh, so did I.",464,[]
4836,"Emily Waltham: Oh, so did I.",Ross Geller: No tongue.,TRANSCRIPT_NOTE: (They hug and give each other a little peck on the cheek.),464,[]
4837,TRANSCRIPT_NOTE: (They hug and give each other a little peck on the cheek.),,Ross Geller: No tongue.,464,"[('No tongue', 'G', '3', 'I')]"
4838,,"The Singing Man: Morning's here! Sunshine is here! The sky is clear, the morning's here! The morning's here!",TRANSCRIPT_NOTE: [Scene: Rachel's bedroom; Rachel is awoken by a man singing in the next apartment.],465,[]
4839,TRANSCRIPT_NOTE: [Scene: Rachel's bedroom; Rachel is awoken by a man singing in the next apartment.],Rachel Green: HEY!! Do you have to do that? It's Saturday!,"The Singing Man: Morning's here! Sunshine is here! The sky is clear, the morning's here! The morning's here!",465,[]
4840,"The Singing Man: Morning's here! Sunshine is here! The sky is clear, the morning's here! The morning's here!",The Singing Man: Oh come on! Morning's here! Morning's here! The morning is here! Sunshine is here!,Rachel Green: HEY!! Do you have to do that? It's Saturday!,465,[]
4841,Rachel Green: HEY!! Do you have to do that? It's Saturday!,"TRANSCRIPT_NOTE: (Rachel slams shut her window and storms into the living room, where Joey and Monica are eating breakfast.)",The Singing Man: Oh come on! Morning's here! Morning's here! The morning is here! Sunshine is here!,465,[]
4842,The Singing Man: Oh come on! Morning's here! Morning's here! The morning is here! Sunshine is here!,Rachel Green: I hate this apartment! I hate the color of these walls! I hate the fact that this place still smells like bird! I hate that singing guy!,"TRANSCRIPT_NOTE: (Rachel slams shut her window and storms into the living room, where Joey and Monica are eating breakfast.)",465,[]
4843,"TRANSCRIPT_NOTE: (Rachel slams shut her window and storms into the living room, where Joey and Monica are eating breakfast.)",Joey Tribbiani: Are you kidding? I love that guy! Morning's here! Morning is here-,Rachel Green: I hate this apartment! I hate the color of these walls! I hate the fact that this place still smells like bird! I hate that singing guy!,465,[]
4844,Rachel Green: I hate this apartment! I hate the color of these walls! I hate the fact that this place still smells like bird! I hate that singing guy!,Rachel Green: Stop it! I will kill you. I hate the fact that my room is so small.,Joey Tribbiani: Are you kidding? I love that guy! Morning's here! Morning is here-,465,[]
