,Pre Context,Post Context,Current Utterance,No,csi items,categories,foreignness,level,corresponding_values,corresponding_values_filtered,csi_items_all,csi_items_fil
4403,"Phoebe Buffay: Oh my God, he's lost it. He's totally lost it.","Rachel Green: Phoebe, his music could not get any worse. There are rats in the basement that are hanging themselves.",Monica Geller: What?,425,[],[],[],[],[],[],0,0
4404,Monica Geller: What?,"TRANSCRIPT_NOTE: (Ross finally finishes with the same crash, and gets some applause.)","Rachel Green: Phoebe, his music could not get any worse. There are rats in the basement that are hanging themselves.",425,"['rats', 'hanging']","['E', 'T']","['1', '3']","['I', 'I']","[('rats', 'E', '1', 'I'), ('hanging', 'T', '3', 'I')]","[('hanging', 'T', '3', 'I')]",2,1
4405,"Rachel Green: Phoebe, his music could not get any worse. There are rats in the basement that are hanging themselves.","Ross Geller: Thank you, thanks. Yeah, I lost it. Y'know, I'm not gonna play anymore, would you, can you finish my set?","TRANSCRIPT_NOTE: (Ross finally finishes with the same crash, and gets some applause.)",425,['applause'],['S'],['1'],['F'],"[('applause', 'S', '1', 'F')]",[],1,0
4406,"TRANSCRIPT_NOTE: (Ross finally finishes with the same crash, and gets some applause.)","Phoebe Buffay: After that? Yeah! No, I mean if I can help.","Ross Geller: Thank you, thanks. Yeah, I lost it. Y'know, I'm not gonna play anymore, would you, can you finish my set?",425,"[""y'know""]",['G'],['2'],['I'],"[(""y'know"", 'G', '2', 'I')]",[],1,1
4407,"Ross Geller: Thank you, thanks. Yeah, I lost it. Y'know, I'm not gonna play anymore, would you, can you finish my set?","TRANSCRIPT_NOTE: (Phoebe gets up and goes to play, Ross goes over and sits down next to Monica and Rachel.)","Phoebe Buffay: After that? Yeah! No, I mean if I can help.",425,[],[],[],[],[],[],0,0
4408,"Phoebe Buffay: After that? Yeah! No, I mean if I can help.","Ross Geller: Yeah, like I could lose it.","TRANSCRIPT_NOTE: (Phoebe gets up and goes to play, Ross goes over and sits down next to Monica and Rachel.)",425,['sitting down next to someone'],['G'],['1'],['I'],"[('sitting down next to someone', 'G', '1', 'I')]",[],1,0
4409,"TRANSCRIPT_NOTE: (Phoebe gets up and goes to play, Ross goes over and sits down next to Monica and Rachel.)",Rachel Green: What?,"Ross Geller: Yeah, like I could lose it.",425,['lose it'],['F'],['2'],['I'],"[('lose it', 'F', '2', 'I')]",[],1,1
4410,"Ross Geller: Yeah, like I could lose it.",Ross Geller: I played bad on purpose guys.,Rachel Green: What?,425,['What'],['G'],['1'],['I'],"[('What', 'G', '1', 'I')]",[],1,0
4411,Rachel Green: What?,TRANSCRIPT_NOTE: (Both Monica and Rachel laugh.),Ross Geller: I played bad on purpose guys.,425,['played bad'],['F'],['2'],['I'],"[('played bad', 'F', '2', 'I')]",[],1,1
4412,Ross Geller: I played bad on purpose guys.,"Monica Geller: Okay, so you were trying to play bad this whole time.",TRANSCRIPT_NOTE: (Both Monica and Rachel laugh.),425,['laugh'],['G'],['1'],['I'],"[('laugh', 'G', '1', 'I')]",[],1,0
4413,TRANSCRIPT_NOTE: (Both Monica and Rachel laugh.),"Ross Geller: Yeah-no, just that last song.","Monica Geller: Okay, so you were trying to play bad this whole time.",425,['play bad'],['F'],['2'],['I'],"[('play bad', 'F', '2', 'I')]",[],1,1
4414,"Monica Geller: Okay, so you were trying to play bad this whole time.",,"Ross Geller: Yeah-no, just that last song.",425,['yeah-no'],['F'],['2'],['I'],"[('yeah-no', 'F', '2', 'I')]",[],1,1
4415,,Joey Tribbiani: Hello.,"TRANSCRIPT_NOTE: [Scene: Chandler and Joey's, Joey is sitting at the counter reading a magazine as the phone rings.]",426,['magazine'],['M'],['1'],['T'],"[('magazine', 'M', '1', 'T')]",[],1,0
4416,"TRANSCRIPT_NOTE: [Scene: Chandler and Joey's, Joey is sitting at the counter reading a magazine as the phone rings.]","Chandler Bing: Hey, it's me. I know you can't stand to be in the same room as me, so I just thought I'd try and apologize over the phone. All I...",Joey Tribbiani: Hello.,426,['Hello'],['G'],['1'],['F'],"[('Hello', 'G', '1', 'F')]",[],1,0
4417,Joey Tribbiani: Hello.,TRANSCRIPT_NOTE: (Pause),"Chandler Bing: Hey, it's me. I know you can't stand to be in the same room as me, so I just thought I'd try and apologize over the phone. All I...",426,[],[],[],[],[],[],0,0
4418,"Chandler Bing: Hey, it's me. I know you can't stand to be in the same room as me, so I just thought I'd try and apologize over the phone. All I...",TRANSCRIPT_NOTE: (The phone rings again.),TRANSCRIPT_NOTE: (Pause),426,[''],['G'],['Pause '],['I'],"[('', 'G', 'Pause ', 'I')]",[],1,1
4419,TRANSCRIPT_NOTE: (Pause),Joey Tribbiani: Hello.,TRANSCRIPT_NOTE: (The phone rings again.),426,"['phone', 'rings', 'phone rings']","['M', 'S', 'G']","['1', '1', '1']","['T', 'I', 'I']","[('phone', 'M', '1', 'T'), ('rings', 'S', '1', 'I'), ('phone rings', 'G', '1', 'I')]",[],3,0
4420,TRANSCRIPT_NOTE: (The phone rings again.),"Chandler Bing: Look I never should have kissed your girlfriend, but I'm...",Joey Tribbiani: Hello.,426,['Hello'],['G'],['1'],['F'],"[('Hello', 'G', '1', 'F')]",[],1,0
4421,Joey Tribbiani: Hello.,TRANSCRIPT_NOTE: (Pause),"Chandler Bing: Look I never should have kissed your girlfriend, but I'm...",426,['kissed your girlfriend'],['O'],['2'],['I'],"[('kissed your girlfriend', 'O', '2', 'I')]","[('kissed your girlfriend', 'O', '2', 'I')]",1,1
4422,"Chandler Bing: Look I never should have kissed your girlfriend, but I'm...",TRANSCRIPT_NOTE: (The phone rings yet again.),TRANSCRIPT_NOTE: (Pause),426,[''],['G'],['Pause '],['I'],"[('', 'G', 'Pause ', 'I')]",[],1,1
4423,TRANSCRIPT_NOTE: (Pause),Joey Tribbiani: Stop callin'!!,TRANSCRIPT_NOTE: (The phone rings yet again.),426,"['phone', 'rings']","['M', 'G']","['1', '1']","['T', 'I']","[('phone', 'M', '1', 'T'), ('rings', 'G', '1', 'I')]",[],2,0
4424,TRANSCRIPT_NOTE: (The phone rings yet again.),"Voice: Hey! Hey! Hey! This is 92.3, WXRK, K-Rock for our $1,000 daily challenge.",Joey Tribbiani: Stop callin'!!,426,"[""callin'""]",['G'],['2'],['I'],"[(""callin'"", 'G', '2', 'I')]",[],1,1
4425,Joey Tribbiani: Stop callin'!!,Joey Tribbiani: All right!,"Voice: Hey! Hey! Hey! This is 92.3, WXRK, K-Rock for our $1,000 daily challenge.",426,"['92.3', 'WXRK', 'K-Rock', '$1,000 daily challenge']","['M', 'M', 'M', 'S']","['2', '3', '3', '2']","['T', 'F', 'F', 'F']","[('92.3', 'M', '2', 'T'), ('WXRK', 'M', '3', 'F'), ('K-Rock', 'M', '3', 'F'), ('$1,000 daily challenge', 'S', '2', 'F')]","[('92.3', 'I', '2', 'T'), ('WXRK', 'I', '3', 'F'), ('K-Rock', 'I', '3', 'F'), ('$1,000 daily challenge', 'S', '2', 'F')]",4,4
4426,"Voice: Hey! Hey! Hey! This is 92.3, WXRK, K-Rock for our $1,000 daily challenge.","Voice: What is the name of your roommate who is very, very sorry and would do anything...",Joey Tribbiani: All right!,426,[],[],[],[],[],[],0,0
4427,Joey Tribbiani: All right!,,"Voice: What is the name of your roommate who is very, very sorry and would do anything...",426,[],[],[],[],[],[],0,0
4428,,"Kathy: Oh my God, is it really that bad?","TRANSCRIPT_NOTE: [Scene: Central Perk, Chandler and Kathy are sitting at a table and talking about Joey.]",427,['Central Perk'],['E'],['2'],['F'],"[('Central Perk', 'E', '2', 'F')]","[('Central Perk', 'E', '2', 'F')]",1,1
4429,"TRANSCRIPT_NOTE: [Scene: Central Perk, Chandler and Kathy are sitting at a table and talking about Joey.]","Chandler Bing: I walk into a room and he won't even talk to me, he just mumbles something in Italian. And I know he only knows the bad words.","Kathy: Oh my God, is it really that bad?",427,[],[],[],[],[],[],0,0
4430,"Kathy: Oh my God, is it really that bad?","Joey Tribbiani: Hey Gunther, have you uh, have you seen Chandler?","Chandler Bing: I walk into a room and he won't even talk to me, he just mumbles something in Italian. And I know he only knows the bad words.",427,"['Italian', 'mumbles something', 'bad words']","['M', 'G', 'O']","['2', '1', '2']","['I', 'I', 'I']","[('Italian', 'M', '2', 'I'), ('mumbles something', 'G', '1', 'I'), ('bad words', 'O', '2', 'I')]","[('Italian', 'M', '2', 'I'), ('bad words', 'O', '2', 'I')]",3,2
4431,"Chandler Bing: I walk into a room and he won't even talk to me, he just mumbles something in Italian. And I know he only knows the bad words.","Gunther: I thought you were Chandler. But umm, one of who is over there.","Joey Tribbiani: Hey Gunther, have you uh, have you seen Chandler?",427,[],[],[],[],[],[],0,0
4432,"Joey Tribbiani: Hey Gunther, have you uh, have you seen Chandler?",TRANSCRIPT_NOTE: (Joey turns around and sees them kissing.),"Gunther: I thought you were Chandler. But umm, one of who is over there.",427,['Chandler'],['I'],['2'],['I'],"[('Chandler', 'I', '2', 'I')]","[('Chandler', 'I', '2', 'I')]",1,1
4433,"Gunther: I thought you were Chandler. But umm, one of who is over there.",Kathy: Oh.,TRANSCRIPT_NOTE: (Joey turns around and sees them kissing.),427,['kissing'],['G'],['1'],['I'],"[('kissing', 'G', '1', 'I')]",[],1,0
4434,TRANSCRIPT_NOTE: (Joey turns around and sees them kissing.),Chandler Bing: Hey Joe.,Kathy: Oh.,427,[],[],[],[],[],[],0,0
4435,Kathy: Oh.,Joey Tribbiani: (Something in Italian.) (Storms out.),Chandler Bing: Hey Joe.,427,[],[],[],[],[],[],0,0
4436,Chandler Bing: Hey Joe.,,Joey Tribbiani: (Something in Italian.) (Storms out.),427,['Italian'],['I'],['2'],['I'],"[('Italian', 'I', '2', 'I')]","[('Italian', 'I', '2', 'I')]",1,1
4437,,"Doctor: I'll be right with you. Okay? Thanks, Wendy.","TRANSCRIPT_NOTE: [Scene: Dr. Burke's office, Rachel and Monica are waiting as the doctor arrives.]",428,"[""Dr. Burke's office""]",['M'],['2'],['F'],"[(""Dr. Burke's office"", 'M', '2', 'F')]",[],1,1
4438,"TRANSCRIPT_NOTE: [Scene: Dr. Burke's office, Rachel and Monica are waiting as the doctor arrives.]",Monica Geller: Oh my God! How cute is the on-call doctor?,"Doctor: I'll be right with you. Okay? Thanks, Wendy.",428,[],[],[],[],[],[],0,0
4439,"Doctor: I'll be right with you. Okay? Thanks, Wendy.","Rachel Green: Ooh, so cute, that I'm thinking about jamming this pen in my eye.",Monica Geller: Oh my God! How cute is the on-call doctor?,428,['on-call doctor'],['S'],['2'],['I'],"[('on-call doctor', 'S', '2', 'I')]","[('on-call doctor', 'S', '2', 'I')]",1,1
4440,Monica Geller: Oh my God! How cute is the on-call doctor?,TRANSCRIPT_NOTE: (The intercom buzzes.),"Rachel Green: Ooh, so cute, that I'm thinking about jamming this pen in my eye.",428,"['pen', 'jamming this pen in my eye']","['M', 'O']","['1', '3']","['T', 'I']","[('pen', 'M', '1', 'T'), ('jamming this pen in my eye', 'O', '3', 'I')]","[('jamming this pen in my eye', 'O', '3', 'I')]",2,1
4441,"Rachel Green: Ooh, so cute, that I'm thinking about jamming this pen in my eye.",Nurse: Dr. Burke will see you know.,TRANSCRIPT_NOTE: (The intercom buzzes.),428,['intercom'],['M'],['2'],['T'],"[('intercom', 'M', '2', 'T')]","[('intercom', 'M', '2', 'T')]",1,1
4442,TRANSCRIPT_NOTE: (The intercom buzzes.),"Monica Geller: Oh no-no-no, not Dr. Burke. Dr. Burke is out of town. The-the on-call doctor will see me now.",Nurse: Dr. Burke will see you know.,428,['Dr. Burke'],['I'],['2'],['F'],"[('Dr. Burke', 'I', '2', 'F')]",[],1,1
4443,Nurse: Dr. Burke will see you know.,"Nurse: Dr. Richard Burke is out of town. Dr. Timothy Burke, his son, will see you now.","Monica Geller: Oh no-no-no, not Dr. Burke. Dr. Burke is out of town. The-the on-call doctor will see me now.",428,['Dr. Burke'],['I'],['2'],['F'],"[('Dr. Burke', 'I', '2', 'F')]",[],1,1
4444,"Monica Geller: Oh no-no-no, not Dr. Burke. Dr. Burke is out of town. The-the on-call doctor will see me now.",Timothy Burke: Ready?,"Nurse: Dr. Richard Burke is out of town. Dr. Timothy Burke, his son, will see you now.",428,"['Dr. Richard Burke', 'Dr. Timothy Burke']","['I', 'I']","['2', '2']","['F', 'F']","[('Dr. Richard Burke', 'I', '2', 'F'), ('Dr. Timothy Burke', 'I', '2', 'F')]",[],2,2
4445,"Nurse: Dr. Richard Burke is out of town. Dr. Timothy Burke, his son, will see you now.","TRANSCRIPT_NOTE: (Monica looks at Rachel, who gives her the thumbs up.)",Timothy Burke: Ready?,428,[],[],[],[],[],[],0,0
4446,Timothy Burke: Ready?,,"TRANSCRIPT_NOTE: (Monica looks at Rachel, who gives her the thumbs up.)",428,['thumbs up'],['G'],['2'],['I'],"[('thumbs up', 'G', '2', 'I')]","[('thumbs up', 'G', '2', 'I')]",1,1
4447,,"Rachel Green: Oh, he sees her!","TRANSCRIPT_NOTE: [Scene: Monica and Rachel's Balcony, the gang is all there watching Chandler.]",429,['balcony'],['M'],['1'],['F'],"[('balcony', 'M', '1', 'F')]",[],1,0
4448,"TRANSCRIPT_NOTE: [Scene: Monica and Rachel's Balcony, the gang is all there watching Chandler.]","Monica Geller: Oh, he's catching up to her!","Rachel Green: Oh, he sees her!",429,[],[],[],[],[],[],0,0
4449,"Rachel Green: Oh, he sees her!","Phoebe Buffay: Oh, she sees him! Oh, they're hugging!","Monica Geller: Oh, he's catching up to her!",429,[],[],[],[],[],[],0,0
4450,"Monica Geller: Oh, he's catching up to her!",Ross Geller: He's taking her purse!,"Phoebe Buffay: Oh, she sees him! Oh, they're hugging!",429,['hugging'],['S'],['2'],['I'],"[('hugging', 'S', '2', 'I')]","[('hugging', 'S', '2', 'I')]",1,1
4451,"Phoebe Buffay: Oh, she sees him! Oh, they're hugging!","Joey Tribbiani: Uhh, that's not them. I'm gonna go call the police.",Ross Geller: He's taking her purse!,429,['purse'],['M'],['1'],['F'],"[('purse', 'M', '1', 'F')]",[],1,0
4452,Ross Geller: He's taking her purse!,"Phoebe Buffay: Oh, there they are!","Joey Tribbiani: Uhh, that's not them. I'm gonna go call the police.",429,['police'],['I'],['1'],['F'],"[('police', 'I', '1', 'F')]",[],1,0
4453,"Joey Tribbiani: Uhh, that's not them. I'm gonna go call the police.",TRANSCRIPT_NOTE: (They watch them making up and sigh),"Phoebe Buffay: Oh, there they are!",429,"['Oh, there they are']",['G'],['1'],['I'],"[('Oh, there they are', 'G', '1', 'I')]",[],1,0
4454,"Phoebe Buffay: Oh, there they are!","Phoebe Buffay: All right, get a room.",TRANSCRIPT_NOTE: (They watch them making up and sigh),429,['making up'],['G'],['2'],['I'],"[('making up', 'G', '2', 'I')]","[('making up', 'G', '2', 'I')]",1,1
4455,TRANSCRIPT_NOTE: (They watch them making up and sigh),,"Phoebe Buffay: All right, get a room.",429,['get a room'],['S'],['1'],['I'],"[('get a room', 'S', '1', 'I')]",[],1,0
4456,,Phoebe Buffay: Okay!,"TRANSCRIPT_NOTE: [Scene: Outside Central Perk, Monica and Phoebe are showing everyone the van they bought for the catering business. It's an old Dodge van, that has a cartoon woman riding on a dragon painted on the side of it.]",430,"['Central Perk', 'old Dodge van']","['E', 'M']","['2', '2']","['F', 'T']","[('Central Perk', 'E', '2', 'F'), ('old Dodge van', 'M', '2', 'T')]","[('Central Perk', 'E', '2', 'F'), ('old Dodge van', 'M', '2', 'T')]",2,2
4457,"TRANSCRIPT_NOTE: [Scene: Outside Central Perk, Monica and Phoebe are showing everyone the van they bought for the catering business. It's an old Dodge van, that has a cartoon woman riding on a dragon painted on the side of it.]","Monica Geller: Come on, no peeking!",Phoebe Buffay: Okay!,430,['Okay'],['G'],['1'],['I'],"[('Okay', 'G', '1', 'I')]",[],1,0
4458,Phoebe Buffay: Okay!,Chandler Bing: Our eyes are closed and we're about to cross the street. Very good.,"Monica Geller: Come on, no peeking!",430,['no peeking'],['G'],['1'],['I'],"[('no peeking', 'G', '1', 'I')]",[],1,0
4459,"Monica Geller: Come on, no peeking!","Phoebe Buffay: Okayyyyy, open up!",Chandler Bing: Our eyes are closed and we're about to cross the street. Very good.,430,['cross the street'],['S'],['1'],['I'],"[('cross the street', 'S', '1', 'I')]",[],1,0
4460,Chandler Bing: Our eyes are closed and we're about to cross the street. Very good.,TRANSCRIPT_NOTE: (They open their eyes and are stunned at the van.),"Phoebe Buffay: Okayyyyy, open up!",430,[],[],[],[],[],[],0,0
4461,"Phoebe Buffay: Okayyyyy, open up!",Ross Geller: What did you want to show us? Because all I can see is this bitchin' van!,TRANSCRIPT_NOTE: (They open their eyes and are stunned at the van.),430,"['van', 'stunned']","['M', 'G']","['1', '1']","['T', 'I']","[('van', 'M', '1', 'T'), ('stunned', 'G', '1', 'I')]",[],2,0
4462,TRANSCRIPT_NOTE: (They open their eyes and are stunned at the van.),"Phoebe Buffay: Yeah, it's for our catering business!",Ross Geller: What did you want to show us? Because all I can see is this bitchin' van!,430,"['van', ""bitchin'"", ""bitchin'""]","['M', 'F', 'O']","['1', '3', '3']","['T', 'I', 'I']","[('van', 'M', '1', 'T'), (""bitchin'"", 'F', '3', 'I'), (""bitchin'"", 'O', '3', 'I')]","[(""bitchin'"", 'F', '3', 'I'), (""bitchin'"", 'O', '3', 'I')]",3,2
4463,Ross Geller: What did you want to show us? Because all I can see is this bitchin' van!,Joey Tribbiani: I think I know that girl.,"Phoebe Buffay: Yeah, it's for our catering business!",430,['catering business'],['M'],['2'],['F'],"[('catering business', 'M', '2', 'F')]","[('catering business', 'M', '2', 'F')]",1,1
4464,"Phoebe Buffay: Yeah, it's for our catering business!","Monica Geller: All right, umm, we're not gonna really keep it this way though.",Joey Tribbiani: I think I know that girl.,430,[],[],[],[],[],[],0,0
4465,Joey Tribbiani: I think I know that girl.,Rachel Green: No?,"Monica Geller: All right, umm, we're not gonna really keep it this way though.",430,[],[],[],[],[],[],0,0
4466,"Monica Geller: All right, umm, we're not gonna really keep it this way though.","Phoebe Buffay: No, we're gonna paint over the sword, and replace it with a baguette.",Rachel Green: No?,430,[],[],[],[],[],[],0,0
4467,Rachel Green: No?,Rachel Green: Oh!,"Phoebe Buffay: No, we're gonna paint over the sword, and replace it with a baguette.",430,"['sword', 'baguette']","['M', 'M']","['2', '2']","['T', 'T']","[('sword', 'M', '2', 'T'), ('baguette', 'M', '2', 'T')]","[('baguette', 'M', '2', 'T')]",2,2
4468,"Phoebe Buffay: No, we're gonna paint over the sword, and replace it with a baguette.","Phoebe Buffay: And also, we don't know what to do with this.",Rachel Green: Oh!,430,[],[],[],[],[],[],0,0
4469,Rachel Green: Oh!,"Joey Tribbiani: Oh yeah, I definitely know her.","Phoebe Buffay: And also, we don't know what to do with this.",430,[],[],[],[],[],[],0,0
4470,"Phoebe Buffay: And also, we don't know what to do with this.",,"Joey Tribbiani: Oh yeah, I definitely know her.",430,[],[],[],[],[],[],0,0
4471,,"Rachel Green: Oh, uh, Joanna I was wondering if I could ask you something. There's an opening for an assistant buyer in Junior Miss...","TRANSCRIPT_NOTE: [Scene: Rachel's office, Rachel and Sophie are sitting at their desks working as Joanna walks in.]",431,"[""Rachel's office"", 'working']","['M', 'S']","['1', '1']","['T', 'I']","[(""Rachel's office"", 'M', '1', 'T'), ('working', 'S', '1', 'I')]",[],2,0
4472,"TRANSCRIPT_NOTE: [Scene: Rachel's office, Rachel and Sophie are sitting at their desks working as Joanna walks in.]","Joanna: Okay, but that would actually be a big step down for me.","Rachel Green: Oh, uh, Joanna I was wondering if I could ask you something. There's an opening for an assistant buyer in Junior Miss...",431,"['assistant buyer', 'Junior Miss']","['I', 'I']","['2', '2']","['F', 'F']","[('assistant buyer', 'I', '2', 'F'), ('Junior Miss', 'I', '2', 'F')]","[('assistant buyer', 'I', '2', 'F'), ('Junior Miss', 'I', '2', 'F')]",2,2
4473,"Rachel Green: Oh, uh, Joanna I was wondering if I could ask you something. There's an opening for an assistant buyer in Junior Miss...","Rachel Green: Well, actually, I meant for me. The hiring committee is meeting people all day and...","Joanna: Okay, but that would actually be a big step down for me.",431,[],[],[],[],[],[],0,0
4474,"Joanna: Okay, but that would actually be a big step down for me.","Joanna: Oh. Well, I wish I could say no, but you can't stay my assistant forever. Neither can you Sophie, but for different reasons.","Rachel Green: Well, actually, I meant for me. The hiring committee is meeting people all day and...",431,['hiring committee'],['S'],['2'],['F'],"[('hiring committee', 'S', '2', 'F')]",[],1,1
4475,"Rachel Green: Well, actually, I meant for me. The hiring committee is meeting people all day and...","Rachel Green: God, I am so glad you don't have a problem with this, because if you did, I wouldn't even consider applying.","Joanna: Oh. Well, I wish I could say no, but you can't stay my assistant forever. Neither can you Sophie, but for different reasons.",431,['assistant'],['I'],['2'],['I'],"[('assistant', 'I', '2', 'I')]",[],1,1
4476,"Joanna: Oh. Well, I wish I could say no, but you can't stay my assistant forever. Neither can you Sophie, but for different reasons.","Joanna: Really? Well, in that case...","Rachel Green: God, I am so glad you don't have a problem with this, because if you did, I wouldn't even consider applying.",431,['applying'],['I'],['2'],['I'],"[('applying', 'I', '2', 'I')]",[],1,1
4477,"Rachel Green: God, I am so glad you don't have a problem with this, because if you did, I wouldn't even consider applying.",Rachel Green: And that's I'm so glad... there's no problem.,"Joanna: Really? Well, in that case...",431,[],[],[],[],[],[],0,0
4478,"Joanna: Really? Well, in that case...","Joanna: That's fine, actually I'm on the hiring committee, so there'll be at least one friendly face.",Rachel Green: And that's I'm so glad... there's no problem.,431,"[""that's""]",['F'],['2'],['I'],"[(""that's"", 'F', '2', 'I')]",[],1,1
4479,Rachel Green: And that's I'm so glad... there's no problem.,Rachel Green: Ohh! That's great!,"Joanna: That's fine, actually I'm on the hiring committee, so there'll be at least one friendly face.",431,['hiring committee'],['I'],['2'],['F'],"[('hiring committee', 'I', '2', 'F')]",[],1,1
4480,"Joanna: That's fine, actually I'm on the hiring committee, so there'll be at least one friendly face.","Joanna: You know, Junior Miss is where I started. Oh, I had to sleep with the ugliest guy to get that job.",Rachel Green: Ohh! That's great!,431,[],[],[],[],[],[],0,0
4481,Rachel Green: Ohh! That's great!,Rachel Green: Really?!,"Joanna: You know, Junior Miss is where I started. Oh, I had to sleep with the ugliest guy to get that job.",431,"['Junior Miss', 'sleep with', 'sleep with']","['I', 'O', 'T']","['2', '3', '3']","['I', 'I', 'I']","[('Junior Miss', 'I', '2', 'I'), ('sleep with', 'O', '3', 'I'), ('sleep with', 'T', '3', 'I')]","[('Junior Miss', 'I', '2', 'I'), ('sleep with', 'O', '3', 'I'), ('sleep with', 'T', '3', 'I')]",3,3
4482,"Joanna: You know, Junior Miss is where I started. Oh, I had to sleep with the ugliest guy to get that job.","Joanna: No-ho-ho! Yeah. I mean, no-no-no-no-no, don't you worry, I'm sure with your qualifications you won't need to sleep with some guy to get that job. Although, I might need some convincing.",Rachel Green: Really?!,431,['Really'],['G'],['1'],['I'],"[('Really', 'G', '1', 'I')]",[],1,0
4483,Rachel Green: Really?!,"Rachel Green: Well, I, umm...","Joanna: No-ho-ho! Yeah. I mean, no-no-no-no-no, don't you worry, I'm sure with your qualifications you won't need to sleep with some guy to get that job. Although, I might need some convincing.",431,"['qualifications', 'that job', 'No-ho-ho', 'sleep with some guy']","['I', 'I', 'F', 'O']","['1', '1', '3', '3']","['F', 'F', 'I', 'I']","[('qualifications', 'I', '1', 'F'), ('that job', 'I', '1', 'F'), ('No-ho-ho', 'F', '3', 'I'), ('sleep with some guy', 'O', '3', 'I')]","[('sleep with some guy', 'O', '3', 'I')]",4,2
4484,"Joanna: No-ho-ho! Yeah. I mean, no-no-no-no-no, don't you worry, I'm sure with your qualifications you won't need to sleep with some guy to get that job. Although, I might need some convincing.","Joanna: Kidding! God, I feel wild today!","Rachel Green: Well, I, umm...",431,[],[],[],[],[],[],0,0
4485,"Rachel Green: Well, I, umm...",,"Joanna: Kidding! God, I feel wild today!",431,"['God', 'kidding']","['I', 'F']","['1', '2']","['I', 'I']","[('God', 'I', '1', 'I'), ('kidding', 'F', '2', 'I')]",[],2,1
4486,,"Mr. Posner: You have a very impressive resume, Ms. Green. I especially like what I see here about implementing a new filing system.","TRANSCRIPT_NOTE: [Scene: Bloomingdale's, Rachel is meeting with Mr. Posner, Mrs. Lynch, and Joanna the hiring committee.]",432,"[""Bloomingdale's""]",['I'],['2'],['F'],"[(""Bloomingdale's"", 'I', '2', 'F')]","[(""Bloomingdale's"", 'I', '2', 'F')]",1,1
4487,"TRANSCRIPT_NOTE: [Scene: Bloomingdale's, Rachel is meeting with Mr. Posner, Mrs. Lynch, and Joanna the hiring committee.]",Rachel Green: Thank you.,"Mr. Posner: You have a very impressive resume, Ms. Green. I especially like what I see here about implementing a new filing system.",432,['filing system'],['M'],['2'],['T'],"[('filing system', 'M', '2', 'T')]","[('filing system', 'M', '2', 'T')]",1,1
4488,"Mr. Posner: You have a very impressive resume, Ms. Green. I especially like what I see here about implementing a new filing system.",Joanna: Filing system? Oh-oh! You mean those-those little colored labels you put on all the folders? It certainly did brighten up the inside of the filing cabinets.,Rachel Green: Thank you.,432,['Thank you'],['G'],['1'],['F'],"[('Thank you', 'G', '1', 'F')]",[],1,0
4489,Rachel Green: Thank you.,"Rachel Green: Well, they uh, they-they do more than that.",Joanna: Filing system? Oh-oh! You mean those-those little colored labels you put on all the folders? It certainly did brighten up the inside of the filing cabinets.,432,"['filing system', 'folders', 'filing cabinets']","['M', 'M', 'M']","['2', '2', '2']","['F', 'T', 'T']","[('filing system', 'M', '2', 'F'), ('folders', 'M', '2', 'T'), ('filing cabinets', 'M', '2', 'T')]","[('filing system', 'M', '2', 'F'), ('folders', 'M', '2', 'T'), ('filing cabinets', 'M', '2', 'T')]",3,3
4490,Joanna: Filing system? Oh-oh! You mean those-those little colored labels you put on all the folders? It certainly did brighten up the inside of the filing cabinets.,Mrs. Lynch: I notice that you've been trusted with a lot of rather important responsibilities.,"Rachel Green: Well, they uh, they-they do more than that.",432,[],[],[],[],[],[],0,0
4491,"Rachel Green: Well, they uh, they-they do more than that.","Rachel Green: Yes, Joanna really has been an incredible mentor to me.",Mrs. Lynch: I notice that you've been trusted with a lot of rather important responsibilities.,432,['Mrs.'],['I'],['2'],['F'],"[('Mrs.', 'I', '2', 'F')]",[],1,1
4492,Mrs. Lynch: I notice that you've been trusted with a lot of rather important responsibilities.,Joanna: Oh. And Rachel has been really incredible in getting my morning bagel for me. It's amazing how she gets it right almost every time!,"Rachel Green: Yes, Joanna really has been an incredible mentor to me.",432,['incredible mentor'],['I'],['2'],['I'],"[('incredible mentor', 'I', '2', 'I')]",[],1,1
4493,"Rachel Green: Yes, Joanna really has been an incredible mentor to me.","Rachel Green: I-I-I of course, I have more responsibilities than that.",Joanna: Oh. And Rachel has been really incredible in getting my morning bagel for me. It's amazing how she gets it right almost every time!,432,['morning bagel'],['M'],['2'],['T'],"[('morning bagel', 'M', '2', 'T')]","[('morning bagel', 'M', '2', 'T')]",1,1
4494,Joanna: Oh. And Rachel has been really incredible in getting my morning bagel for me. It's amazing how she gets it right almost every time!,"Joanna: Oh yes, well there's the coffee too. Rachel can carry two things at once!","Rachel Green: I-I-I of course, I have more responsibilities than that.",432,['I-I-I'],['G'],['1'],['I'],"[('I-I-I', 'G', '1', 'I')]",[],1,0
4495,"Rachel Green: I-I-I of course, I have more responsibilities than that.","Mr. Posner: Yes, that's very good. Now a uh, big part of this job is cultivating personal relationships, especially with designers.","Joanna: Oh yes, well there's the coffee too. Rachel can carry two things at once!",432,"['coffee', 'carry two things at once']","['M', 'G']","['2', '1']","['T', 'I']","[('coffee', 'M', '2', 'T'), ('carry two things at once', 'G', '1', 'I')]",[],2,1
